"Sub","Con","Pred","Cat_n","Choice","RT","Conf","Want2See","MotCon"
"2013","Coop","0",40,0,2.6441,2,0,TRUE
"2013","Coop","0",55,1,1.0271,4,0,FALSE
"2013","Coop","1",40,1,1.874,3,1,TRUE
"2013","Coop","1",55,1,1.7157,4,1,TRUE
"2013","Coop","0",60,1,1.7657,3,0,FALSE
"2013","Coop","0",45,0,1.0657,5,0,TRUE
"2013","Coop","0",40,0,2.3054,2,0,TRUE
"2013","Coop","1",50,1,2.511,3,1,TRUE
"2013","Coop","1",50,1,2.5491,3,1,TRUE
"2013","Coop","1",50,1,0.9607,4,1,TRUE
"2013","Coop","0",45,1,1.9961,2,0,FALSE
"2013","Coop","0",45,1,1.7428,3,0,FALSE
"2013","Coop","0",45,0,2.4478,2,0,TRUE
"2013","Coop","1",55,1,2.4915,4,1,TRUE
"2013","Coop","1",40,0,1.2186,4,1,FALSE
"2013","Coop","1",45,0,2.1123,4,1,FALSE
"2013","Coop","1",60,1,2.1038,4,1,TRUE
"2013","Coop","1",60,1,0.8941,4,1,TRUE
"2013","Coop","1",40,0,2.8539,4,1,FALSE
"2013","Coop","0",65,1,1.7522,4,0,FALSE
"2013","Coop","0",55,1,1.8739,4,0,FALSE
"2013","Coop","1",55,1,2.0379,4,1,TRUE
"2013","Coop","1",45,0,2.3487,4,1,FALSE
"2013","Coop","0",45,1,1.6367,4,0,FALSE
"2013","Coop","0",60,1,2.8413,3,0,FALSE
"2013","Coop","0",55,1,2.8139,3,0,FALSE
"2013","Coop","0",35,0,2.2036,4,0,TRUE
"2013","Coop","1",60,1,1.2733,4,1,TRUE
"2013","Coop","1",50,1,1.9916,4,1,TRUE
"2013","Coop","0",35,0,1.4332,4,0,TRUE
"2013","Coop","0",50,1,2.2881,4,0,FALSE
"2013","Coop","0",0,0,1.0868,4,0,TRUE
"2013","Coop","0",50,1,3.1512,4,0,FALSE
"2013","Coop","1",65,1,0.9359,5,1,TRUE
"2013","Coop","1",45,0,1.5803,2,1,FALSE
"2013","Coop","1",50,1,2.9051,4,1,TRUE
"2013","Coop","1",55,1,3.0385,4,1,TRUE
"2013","Coop","1",40,NA,NA,NA,1,NA
"2013","Coop","1",45,0,2.0365,4,1,FALSE
"2013","Coop","1",45,0,1.1867,4,1,FALSE
"2013","Comp","1",40,0,1.3685,4,0,TRUE
"2013","Comp","0",60,1,1.2295,5,1,TRUE
"2013","Comp","1",50,1,1.2119,3,0,FALSE
"2013","Comp","1",50,1,1.6867,2,0,FALSE
"2013","Comp","0",55,1,1.0306,5,1,TRUE
"2013","Comp","0",55,0,2.6622,4,1,FALSE
"2013","Comp","0",35,0,1.8592,4,1,FALSE
"2013","Comp","0",45,0,2.262,3,1,FALSE
"2013","Comp","0",60,1,2.2014,4,1,TRUE
"2013","Comp","0",40,0,1.1281,4,1,FALSE
"2013","Comp","1",40,0,1.6413,3,0,TRUE
"2013","Comp","0",60,1,1.1367,3,1,TRUE
"2013","Comp","1",60,1,1.2197,3,0,FALSE
"2013","Comp","0",45,0,1.7036,3,1,FALSE
"2013","Comp","1",50,1,2.4863,4,0,FALSE
"2013","Comp","1",50,1,2.495,4,0,FALSE
"2013","Comp","0",40,0,1.1176,3,1,FALSE
"2013","Comp","1",50,0,2.6105,2,0,TRUE
"2013","Comp","0",55,1,1.398,1,1,TRUE
"2013","Comp","1",45,1,2.3499,3,0,FALSE
"2013","Comp","0",50,1,2.1741,3,1,TRUE
"2013","Comp","1",35,0,0.9169,4,0,TRUE
"2013","Comp","0",55,1,1.5452,3,1,TRUE
"2013","Comp","1",45,1,1.6744,4,0,FALSE
"2013","Comp","0",40,0,2.0111,3,1,FALSE
"2013","Comp","1",50,1,2.6844,2,0,FALSE
"2013","Comp","0",50,1,1.5538,3,1,TRUE
"2013","Comp","1",35,0,0.8152,3,0,TRUE
"2013","Comp","1",40,0,3.0417,1,0,TRUE
"2013","Comp","0",50,0,1.9863,3,1,FALSE
"2013","Comp","1",0,0,1.3356,4,0,TRUE
"2013","Comp","1",50,1,2.4449,4,0,FALSE
"2013","Comp","1",55,0,0.9173,2,0,TRUE
"2013","Comp","0",50,1,1.9332,5,1,TRUE
"2013","Comp","1",45,NA,NA,NA,0,NA
"2013","Comp","0",45,1,1.804,4,1,TRUE
"2013","Comp","1",60,1,1.0403,5,0,FALSE
"2013","Comp","1",65,1,0.5882,5,0,FALSE
"2013","Comp","1",45,0,1.8917,4,0,TRUE
"2013","Comp","1",65,1,1.1041,5,0,FALSE
"2013","Coop","0",60,1,2.0345,5,0,FALSE
"2013","Coop","0",35,0,0.6445,5,0,TRUE
"2013","Coop","1",45,0,1.9029,4,1,FALSE
"2013","Coop","1",60,1,0.9703,5,1,TRUE
"2013","Coop","0",40,1,1.3708,3,0,FALSE
"2013","Coop","0",100,1,1.2998,5,0,FALSE
"2013","Coop","1",100,1,1.9752,4,1,TRUE
"2013","Coop","0",55,1,2.8183,1,0,FALSE
"2013","Coop","1",35,0,2.8406,3,1,FALSE
"2013","Coop","0",50,1,0.9475,3,0,FALSE
"2013","Coop","1",55,1,1.5291,4,1,TRUE
"2013","Coop","1",0,0,1.0096,5,1,FALSE
"2013","Coop","0",60,1,0.9809,4,0,FALSE
"2013","Coop","1",45,1,2.6743,5,1,TRUE
"2013","Coop","1",35,0,1.2097,5,1,FALSE
"2013","Coop","0",50,1,1.455,4,0,FALSE
"2013","Coop","1",35,0,0.8445,5,1,FALSE
"2013","Coop","0",55,1,0.9246,3,0,FALSE
"2013","Coop","0",50,0,2.3667,4,0,TRUE
"2013","Coop","0",60,1,1.4699,4,0,FALSE
"2013","Coop","0",55,1,0.8585,4,0,FALSE
"2013","Coop","1",50,1,1.3469,5,1,TRUE
