"subj_idx","stim","response","rt","condition","amygdala_pe"
2013,-1,0,2.6441,-1,-0.1846961376
2013,0.5,1,1.0271,-1,1.690360021
2013,-1,1,1.874,1,0.3014105764
2013,0.5,1,1.7157,1,1.090255713
2013,1,1,1.7657,-1,-0.1407851498
2013,-0.5,0,1.0657,-1,0.2083854201
2013,-1,0,2.3054,-1,0.4433960759
2013,0,1,2.511,1,-0.7193809407
2013,0,1,2.5491,1,-0.2872778781
2013,0,1,0.9607,1,0.1749833512
2013,-0.5,1,1.9961,-1,-0.1587905089
2013,-0.5,1,1.7428,-1,-0.0188762145
2013,-0.5,0,2.4478,-1,0.4245824238
2013,0.5,1,2.4915,1,0.8106696919
2013,-1,0,1.2186,1,0.4633773533
2013,-0.5,0,2.1123,1,0.181437125
2013,1,1,2.1038,1,0.5865631519
2013,1,1,0.8941,1,1.444119602
2013,-1,0,2.8539,1,0.5821023908
2013,1.5,1,1.7522,-1,-0.8570840166
2013,0.5,1,1.8739,-1,0.3153680882
2013,0.5,1,2.0379,1,-1.477835788
2013,-0.5,0,2.3487,1,0.3596791569
2013,-0.5,1,1.6367,-1,0.3578306574
2013,1,1,2.8413,-1,0.3587842608
2013,0.5,1,2.8139,-1,1.00902017
2013,-1.5,0,2.2036,-1,0.5823737137
2013,1,1,1.2733,1,-1.316561718
2013,0,1,1.9916,1,0.3238904682
2013,-1.5,0,1.4332,-1,1.686183796
2013,0,1,2.2881,-1,-0.3783850221
2013,-5,0,1.0868,-1,0.0403043983
2013,0,1,3.1512,-1,-0.0991462709
2013,1.5,1,0.9359,1,1.007931959
2013,-0.5,0,1.5803,1,-0.3409668049
2013,0,1,2.9051,1,0.8133115425
2013,0.5,1,3.0385,1,-0.2780108922
2013,-0.5,0,2.0365,1,1.59151012
2013,-0.5,0,1.1867,1,-0.2170861823
2013,-1,0,1.3685,-1,-0.7797599121
2013,1,1,1.2295,1,0.511099665
2013,0,1,1.2119,-1,-0.197995656
2013,0,1,1.6867,-1,-0.7712060006
2013,0.5,1,1.0306,1,-1.047906669
2013,0.5,0,2.6622,1,-1.203217612
2013,-1.5,0,1.8592,1,-0.3241855784
2013,-0.5,0,2.262,1,-0.8605617453
2013,1,1,2.2014,1,-1.341648828
2013,-1,0,1.1281,1,-0.3179659726
2013,-1,0,1.6413,-1,0.1342115163
2013,1,1,1.1367,1,0.1236481917
2013,1,1,1.2197,-1,0.2182812298
2013,-0.5,0,1.7036,1,0.7985292489
2013,0,1,2.4863,-1,0.3271916001
2013,0,1,2.495,-1,0.4558830083
2013,-1,0,1.1176,1,-0.3064878454
2013,0,0,2.6105,-1,0.9332105276
2013,0.5,1,1.398,1,-0.2791396594
2013,-0.5,1,2.3499,-1,0.5521668158
2013,0,1,2.1741,1,0.9324976106
2013,-1.5,0,0.9169,-1,-0.6877447396
2013,0.5,1,1.5452,1,-0.508483951
2013,-0.5,1,1.6744,-1,-0.7182414669
2013,-1,0,2.0111,1,-0.7815648004
2013,0,1,2.6844,-1,2.166775883
2013,0,1,1.5538,1,1.211106797
2013,-1.5,0,0.8152,-1,0.7934220616
2013,-1,0,3.0417,-1,-0.4769518445
2013,0,0,1.9863,1,-0.4158761578
2013,-5,0,1.3356,-1,-0.3427110204
2013,0,1,2.4449,-1,-0.395704394
2013,0.5,0,0.9173,-1,-0.7031128042
2013,0,1,1.9332,1,-0.8443231144
2013,-0.5,1,1.804,1,0.9340805714
2013,1,1,1.0403,-1,0.0563118744
2013,1.5,1,0.5882,-1,-0.1974715056
2013,-0.5,0,1.8917,-1,0.3185297128
2013,1.5,1,1.1041,-1,-0.2451837572
2013,1,1,2.0345,-1,-1.663631847
2013,-1.5,0,0.6445,-1,0.2477325917
2013,-0.5,0,1.9029,1,-0.5109327272
2013,1,1,0.9703,1,0.8741796212
2013,-1,1,1.3708,-1,-0.07662735104
2013,5,1,1.2998,-1,0.3597732404
2013,5,1,1.9752,1,0.7404611026
2013,0.5,1,2.8183,-1,-0.1583529672
2013,-1.5,0,2.8406,1,0.5884600304
2013,0,1,0.9475,-1,-0.5731454359
2013,0.5,1,1.5291,1,-1.18830805
2013,-5,0,1.0096,1,-0.6081355273
2013,1,1,0.9809,-1,0.8114803396
2013,-0.5,1,2.6743,1,0.04945872081
2013,-1.5,0,1.2097,1,-0.4379898296
2013,0,1,1.455,-1,0.1704403908
2013,-1.5,0,0.8445,1,0.7828525045
2013,0.5,1,0.9246,-1,-0.02706526222
2013,0,0,2.3667,-1,0.4587723991
2013,1,1,1.4699,-1,1.018852388
2013,0.5,1,0.8585,-1,1.938170609
2013,0,1,1.3469,1,0.4020184494
2013,0,0,3.0899,1,-0.617491646
2013,-1,0,1.3986,-1,1.403150568
2013,0.5,1,1.2387,-1,-0.6175811722
2013,0,1,0.6813,1,1.818300845
2013,-0.5,0,1.238,-1,0.7028164498
2013,1.5,0,1.6809,1,-0.5969242832
2013,-1,0,0.8856,1,-0.411269367
2013,1.5,1,1.0149,1,-0.9195933498
2013,-1,0,1.5317,-1,0.01669940826
2013,0,1,1.4891,-1,0.9935838409
2013,1.5,0,2.5295,-1,-0.6045153538
2013,0.5,1,1.0857,1,-0.2555235045
2013,1.5,1,0.8947,-1,-0.2498549251
2013,0,1,2.4279,-1,1.424122283
2013,0,0,2.4584,-1,0.9018772777
2013,-0.5,0,0.7532,-1,0.02221030702
2013,1,1,1.9298,1,-0.4241125278
2013,0.5,1,1.0217,1,-0.3228046432
2013,-0.5,0,2.0349,-1,0.1555325216
2013,1,1,1.1908,1,-0.3155739057
2013,0.5,1,1.2005,-1,0.6462372152
2013,0.5,1,2.6235,1,0.1442277809
2013,0.5,1,1.0382,-1,0.5513816146
2013,0.5,1,2.3371,1,0.4983039971
2013,-0.5,0,1.4661,-1,1.523227677
2013,-1.5,0,0.9196,-1,1.57382527
2013,-0.5,0,1.9814,-1,1.036560288
2013,-0.5,1,2.623,1,-0.8934586791
2013,-1,0,1.1815,-1,-1.659847532
2013,5,1,1.0257,-1,-0.6260640854
2013,0.5,1,1.2362,-1,0.02035064045
2013,1,1,0.8123,-1,1.639526414
2013,5,1,1.8222,1,2.005181331
2013,0,0,1.5341,-1,0.6994755965
2013,1.5,1,1.1284,1,1.040862677
2013,0,0,1.1225,1,1.347785983
2013,-1.5,0,1.0276,1,1.687597119
2013,0,1,1.9346,1,0.2363237961
2013,1,1,0.6903,-1,-0.2506740231
2013,-0.5,1,0.9792,1,-2.003443466
2013,0,1,2.0769,1,-1.954937767
2013,1,1,0.8243,1,0.8284758822
2013,-1,0,0.8645,1,0.2552265926
2013,1,1,2.3017,-1,-0.3004496663
2013,0.5,1,1.9871,-1,1.486773799
2013,-1,0,0.8994,-1,0.826871362
2013,1.5,1,2.4128,-1,1.077879736
2013,0.5,1,0.8958,1,0.2646801205
2013,1.5,1,1.4266,1,0.5372114248
2013,-1,0,1.5783,1,1.006816819
2013,-1.5,0,0.973,1,0.1555802466
2013,-0.5,0,1.9682,1,-0.1098337044
2013,-5,0,0.8026,1,1.845712829
2013,-0.5,0,2.2121,1,1.150125364
2013,0,1,1.0969,1,0.4279924819
2013,0.5,0,2.8694,-1,0.1230738742
2013,1.5,1,1.0764,1,1.239907625
2013,0.5,1,0.8443,-1,1.602655379
2015,0,1,0.8916,1,-0.3034869943
2015,-1,0,2.8686,-1,-0.3304410935
2015,1.5,1,0.9551,-1,-0.37328443
2015,-1.5,0,1.8361,1,0.254125488
2015,1.5,1,0.7927,1,-0.1263999424
2015,-0.5,1,1.1579,-1,0.09493357923
2015,-1,0,2.3029,-1,-0.05275678492
2015,-1,0,3.211,1,0.4363198736
2015,5,1,0.8409,-1,0.279210811
2015,0,1,1.119,1,-0.1974144161
2015,-5,0,0.972,-1,-0.0007510263299
2015,0.5,1,1.9729,1,-0.08558877135
2015,0,0,2.7704,-1,0.4903486019
2015,0,1,0.9325,1,-0.02209712915
2015,0.5,1,2.5917,-1,0.1175110914
2015,1,1,0.8483,1,-0.4019879007
2015,1,1,2.4148,-1,0.07224583107
2015,0.5,1,1.0112,-1,0.2122955508
2015,0,1,2.029,1,0.3155549769
2015,-1.5,0,1.281,-1,0.2081137238
2015,0.5,1,1.3657,1,0.3900895151
2015,0,1,3.548,-1,-0.09246440137
2015,5,1,0.808,1,0.1121757069
2015,1.5,1,0.9235,-1,0.71433598
2015,1.5,1,1.1511,1,0.5321914347
2015,0.5,1,0.7824,-1,0.1062471575
2015,1.5,1,0.7257,-1,-0.2293096183
2015,0.5,1,1.8988,-1,-0.2373955869
2015,-0.5,1,2.241,1,-0.1900919437
2015,0.5,1,1.1786,-1,-0.004239131506
2015,-1,0,3.2187,1,-0.1086271587
2015,-0.5,0,3.068,1,-0.07793575617
2015,0,1,1.5829,-1,0.09110459623
2015,1,1,1.1309,-1,-0.07843314766
2015,-0.5,1,2.0248,-1,-0.1705413695
2015,1,1,1.0322,1,0.06190225702
2015,-1.5,0,1.4835,1,0.1558098995
2015,0.5,1,1.2144,1,0.05288241731
2015,1,1,0.763,-1,-0.02785101743
2015,0,1,1.9732,1,0.3895877821
2015,0,1,1.4846,-1,-0.3039421384
2015,0,1,0.9973,1,-0.4259167364
2015,-1,0,1.5847,-1,-0.2399936043
2015,0.5,1,0.8237,-1,-0.7572477806
2015,0.5,1,0.9725,-1,-0.04095010729
2015,-1,0,2.3889,1,-0.1407310533
2015,1.5,1,1.0307,-1,-0.6960484651
2015,-5,0,1.0333,-1,-0.3831353774
2015,1,1,1.3469,-1,-0.373517417
2015,0.5,1,0.7076,1,-0.1860753201
2015,5,1,1.3052,1,0.5089063389
2015,0,1,1.5286,-1,0.1527298587
2015,0.5,1,1.035,1,0.1567947877
2015,1,1,0.9465,-1,0.332536129
2015,-1,1,1.574,1,0.2630921105
2015,0,1,2.2679,-1,-0.1778569514
2015,-0.5,0,2.7633,-1,-0.06720471355
2015,0,1,1.2387,-1,0.2092047673
2015,0.5,1,1.7251,-1,0.05951103026
2015,1.5,1,0.9784,-1,0.2673946823
2015,0.5,1,1.0837,-1,0.4571853395
2015,0,0,1.7128,-1,-0.3583914017
2015,-1,1,2.4605,1,0.1668640059
2015,0,0,1.7809,1,0.3108397838
2015,-1.5,0,1.0162,-1,0.01570691054
2015,5,1,0.7393,-1,-0.06517044216
2015,-0.5,1,1.616,1,0.3659272232
2015,-1,0,2.9887,-1,0.1953749843
2015,-1.5,0,0.8536,1,-0.13934614
2015,-1,0,1.5761,-1,-0.247239491
2015,0,1,1.6175,1,0.1207284906
2015,0,1,1.4533,-1,0.08038403626
2015,-1.5,0,1.2979,1,-0.1991906086
2015,0,1,1.0964,-1,0.5507001489
2015,0,1,2.5331,1,0.1928772068
2015,0,1,0.8805,1,-0.09325584993
2015,-0.5,1,1.2214,1,-0.2798563067
2015,0.5,1,1.0614,1,-0.150568585
2015,-0.5,1,1.2688,1,-0.07869227362
2015,0.5,1,1.3642,1,0.001928478544
2015,-0.5,1,2.2404,-1,-0.7523940242
2015,0,1,1.9796,-1,-0.6647282807
2015,1,1,0.9852,1,-0.7937474322
2015,0,1,0.8538,1,-0.3215368701
