"antInsula_cope","antInsula_cope_scaled"
-16938.16263,-1.473001258
-4700.725938,-0.3492500701
-11742.68198,-0.9774724155
-12249.19199,-0.9934279486
-4999.710393,-0.4046615386
-15278.70528,-1.280941415
-5772.648554,-0.477176475
-8187.196391,-0.8175005716
-3578.658104,-0.3268625211
-3791.975038,-0.2946093447
4195.774227,0.4179144473
-4212.440961,-0.3611148972
4006.89921,0.32643831
-209.2613494,-0.0646145582
-10089.28091,-0.8679480262
3919.427086,0.3890271363
6377.24876,0.520309707
13197.0137,1.117362928
10946.60696,1.013050868
-14569.7496,-1.253970248
2673.130524,0.2438446738
-10495.95459,-0.9617124019
-946.3464692,-0.07891645876
-11301.25499,-0.8823683271
2433.44978,0.1211743849
8415.120297,0.7338525397
5746.445781,0.5415990717
-23290.09117,-2.029342296
-8452.842388,-0.7416023166
18643.31667,1.657022182
-5050.458652,-0.4810733051
-2786.406221,-0.2061146867
-5025.037031,-0.4179640366
4765.161246,0.3477638048
-5324.724393,-0.5719164339
3422.798841,0.3431554307
4339.412339,0.4990188668
-11992.43546,-1.037358082
15326.38658,1.44167237
-4164.971912,-0.4181723207
-21137.43963,-1.822582109
-6833.348044,-0.5771222056
-11488.21239,-0.9332921307
1424.30053,0.1129157926
-10197.87816,-0.8618259269
-10303.90071,-0.8933755952
2490.333149,0.1907715757
-6105.902801,-0.5004706378
-1787.622302,-0.1945818167
-4443.156092,-0.3529122531
-3270.798844,-0.3156961399
-3352.729957,-0.3615695796
6429.877237,0.5341591392
-2385.435446,-0.2222887834
6460.749518,0.5839068556
-4938.577486,-0.4966689308
-205.1292643,0.01286263048
15367.5687,1.398370364
-10196.38168,-0.867304917
1375.105841,0.1113384207
6083.753627,0.5545852235
-15561.33476,-1.414626834
2195.903245,0.1838732052
-5441.910689,-0.5005471789
-6677.740166,-0.5687565733
-15581.0384,-1.262536632
-11848.00141,-1.135753861
-2285.116593,-0.2609139129
-5445.243298,-0.4387525182
-9232.479146,-0.8464775853
-4404.874192,-0.371092741
1354.294916,0.1342163626
-5485.849485,-0.4740976266
-8304.982627,-0.7608714895
-6278.264422,-0.5528941938
10812.7464,0.9370855104
-1167.756001,-0.1222561976
-3149.507645,-0.2604901099
2184.668768,0.1657454768
