subj_idx,response,rt,amyg,condition
1,1,0.901,-0.38937,1
1,0,2.21,0.75325,1
1,1,3.236,-0.30289,1
1,1,0.967,-0.38686,1
1,1,1.646,0.096815,1
1,1,1.346,-0.17164,1
1,1,1.772,0.69326,1
1,1,1.801,0.58218,1
1,1,2.879,0.1464,1
1,1,1.237,1.6403,1
1,1,2.442,-1.1828,1
1,1,1.559,0.21262,1
1,1,3.709,0.065753,1
1,1,1.545,0.52756,1
1,1,1.772,0.73871,1
1,1,1.643,0.22312,1
1,1,0.971,-1.0017,1
1,1,2.783,-0.12843,1
1,1,1.666,0.19177,1
1,0,1.101,1.176,1
1,1,1.326,0.75532,1
1,1,1.59,1.0071,1
1,1,1.262,0.45156,1
1,0,1.421,0.2142,1
1,1,1.853,1.149,1
1,0,1.001,0.52567,1
1,1,2.214,0.034242,1
1,1,1.751,2.0391,1
1,1,2.934,-0.5637,1
1,1,1.225,0.31572,1
1,1,2.343,0.29816,1
1,1,3.859,0.71579,1
1,1,1.45,0.38801,1
1,1,0.859,0.13142,1
1,1,1.89,0.63663,1
1,1,2.828,0.5131,1
1,1,0.892,1.4701,1
1,1,1.34,-0.35084,1
1,1,1.561,1.8739,1
1,0,2.896,0.30589,1
1,1,2.598,-0.32307,1
1,1,1.336,-0.76195,1
1,1,2.293,0.72855,1
1,1,2.019,-0.21734,1
1,1,1.781,0.4598,1
1,0,2.013,0.13387,1
1,1,1.141,1.177,1
1,1,0.901,-0.88644,1
1,1,1.271,-0.54264,1
1,1,2.437,0.69404,1
1,1,1.905,-0.095311,1
1,1,1.255,1.0994,1
1,1,0.849,1.5234,1
1,1,1.181,-0.63834,1
1,1,1.018,2.2856,1
1,1,1.169,-0.099268,1
1,1,1.947,0.17114,1
1,1,1.56,-0.038878,1
1,1,1.223,0.95087,1
1,1,1.189,-1.6584,1
1,1,2.908,0.23724,1
1,1,1.404,-1.5832,1
1,1,1.643,1.4271,1
1,1,2.597,0.91051,1
1,1,3.854,0.71867,1
1,0,1.997,1.5138,1
1,1,1.229,0.44006,1
1,1,2.26,0.43015,1
1,1,2.148,1.6077,1
1,1,0.951,-0.53003,1
1,1,1.809,0.43481,1
1,0,1.357,0.81601,1
1,0,1.591,0.18169,1
1,1,1.559,0.70827,1
1,1,1.096,0.049564,1
1,0,1.808,0.75928,1
1,0,2.228,-0.111,1
1,1,2.175,0.37971,1
1,1,1.003,0.55144,1
1,1,3.718,-0.6215,1
1,1,2.954,-0.70511,1
1,1,1.428,0.7144,1
1,1,2.593,2.3894,1
1,1,1.914,0.35271,1
1,1,1.232,0.57132,1
1,0,2.447,1.0689,1
1,1,0.836,-1.0479,1
1,1,2.077,0.37718,1
1,1,1.196,-1.1189,1
1,1,1.333,0.80383,1
1,1,1.043,-0.14466,1
1,1,2.494,0.4387,1
1,0,2.025,1.773,1
1,1,2.5,-1.4234,1
1,1,1.052,-0.14427,1
1,1,2.31,0.98748,1
1,1,2.63,-0.07226,1
1,1,1.377,-0.76359,1
1,1,1.945,-1.2489,1
1,1,1.06,-0.86855,1
1,1,1.429,0.33514,1
1,1,1.166,-0.46853,1
1,1,2.331,0.56072,1
1,1,2.115,0.055523,1
1,1,1.635,0.54431,1
1,1,2.322,-1.5201,1
1,1,1.198,1.2734,1
1,0,1.221,0.90286,1
1,1,1.471,-0.65156,1
1,0,1.135,0.81819,1
1,1,0.936,1.8853,1
1,1,2.054,-0.067474,1
1,1,2.031,0.53606,1
1,1,2.527,0.042385,1
1,1,3.604,0.53163,1
1,1,1.404,-0.65887,1
1,0,3.11,0.99269,1
1,1,2.875,0.40979,1
1,0,1.784,-0.87856,1
1,1,1.115,1.305,1
1,1,1.57,-1.8669,1
1,1,1.622,1.7209,1
1,1,0.976,1.8554,1
1,1,2.774,0.36496,1
1,1,2.028,1.6054,1
1,1,2.43,0.75938,1
1,1,1.163,0.64484,1
1,1,1.048,-0.48114,1
1,1,2.436,-0.14576,1
1,1,1.126,-0.62615,1
1,1,0.996,-0.065219,1
1,1,1.808,0.63853,1
1,1,1.256,1.6631,1
1,1,0.978,2.046,1
1,1,1.027,-0.83182,1
1,1,1.394,-0.35442,1
1,1,1.962,-0.91674,1
1,1,1.406,-0.48005,1
1,1,1.355,1.4395,1
1,1,3.33,0.8451,1
1,1,0.977,1.0663,1
1,1,0.976,-0.42309,1
1,1,2.095,0.6139,1
1,1,1.607,-0.1334,1
1,0,1.295,-0.22958,1
1,1,3.127,-0.61561,1
1,1,1.837,-0.28123,1
1,0,1.326,-0.14107,1
1,1,1.369,0.90784,1
1,0,2.421,0.054568,1
1,1,0.975,1.1284,1
1,1,3.393,-1.0744,1
1,1,2.144,1.0314,1
1,1,1.308,-0.70809,1
1,1,1.124,0.53908,1
1,1,2.502,0.85151,1
1,1,2.329,1.6234,1
1,1,2.399,-0.32,1
1,1,1.283,0.38297,1
1,1,1.066,0.1511,1
1,1,1.759,0.85,1
1,1,0.995,1.08,1
1,1,1.488,-0.15276,1
1,0,1.586,-0.31402,1
1,1,1.191,0.93298,1
1,0,1.246,0.28804,1
1,1,1.874,0.53491,1
1,1,0.829,-0.059963,1
1,1,3.601,-0.8815,1
1,1,3.714,0.5645,1
1,1,2.529,-0.025668,1
1,1,2.285,1.5679,1
1,1,1.414,-0.22038,1
1,1,2.165,-0.88547,1
1,1,2.182,0.067878,1
1,1,2.195,-0.24033,1
1,1,0.984,0.29238,1
1,0,1.895,-0.23401,1
1,1,1.259,1.1263,1
1,1,3.434,0.13987,1
1,0,1.565,1.7583,1
1,1,1.147,0.88328,1
1,1,1.664,-0.46705,1
1,1,1.488,0.8814,1
1,1,1.114,1.0276,1
1,0,1.447,-0.60784,1
1,1,1.137,-1.112,1
1,0,1.9,0.013751,1
1,1,3.128,1.1103,1
1,1,1.02,0.25933,1
1,1,1.384,0.22188,1
1,1,1.933,-0.090947,1
1,1,1.057,0.78869,1
1,0,3.294,1.9844,1
1,1,2.59,0.20903,1
1,1,1.057,0.10253,1
1,1,1.325,0.39076,1
1,1,1.107,0.31672,1
1,1,1.228,-0.79446,1
1,1,1.425,0.99121,1
1,1,1.098,1.0042,1
1,1,1.156,0.33751,1
1,1,1.026,-0.48604,1
1,1,3.42,-0.73205,1
1,1,1.524,0.14177,1
1,0,2.137,1.0508,1
1,1,0.994,2.0942,1
1,1,0.877,2.7921,1
1,0,1.147,1.4497,1
1,1,1.688,0.63682,1
1,1,1.029,1.4437,1
1,1,1.1,1.0742,1
1,1,1.963,0.36822,1
