subj_idx,response,rt,amyg,condition
1,1,1.077,0.11946,1
1,1,1.98,-0.12641,1
1,1,1.399,1.0403,1
1,1,0.852,1.1187,1
1,1,1.667,-1.5892,1
1,1,1.818,-0.76408,1
1,1,3.455,0.7009,1
1,0,1.507,0.52564,1
1,1,1.206,-0.59462,1
1,1,1.132,-0.11618,1
1,1,1.425,0.24009,1
1,1,1.876,-2.361,1
1,1,1.263,-0.3844,1
1,1,1.061,0.96872,1
1,1,1.073,0.98747,1
1,0,2.033,0.70753,1
1,1,3.58,-1.6832,1
1,1,1.173,-0.73542,1
1,1,1.867,0.35645,1
1,0,1.117,-0.39307,1
1,1,3.758,-0.25545,1
1,1,2.012,-0.3641,1
1,1,3.076,0.25244,1
1,0,2.812,-0.57923,1
1,1,1.405,0.54772,1
1,1,1.283,2.2092,1
1,1,2.246,-0.91188,1
1,1,1.048,1.9155,1
1,1,2.985,-0.79946,1
1,1,0.82,-0.24108,1
1,0,3.742,0.242,1
1,1,1.181,0.31853,1
1,1,2.778,0.61829,1
1,1,1.498,0.76985,1
1,0,1.766,-0.092329,1
1,0,1.927,0.90122,1
1,1,1.396,-0.41317,1
1,1,1.296,1.2863,1
1,1,2.244,0.57125,1
1,1,1.006,0.15823,1
1,0,0.986,0.22036,1
1,1,1.416,0.69566,1
1,1,2.581,1.46,1
1,0,1.826,0.24621,1
1,0,3.065,-0.42614,1
1,1,0.806,-0.85831,1
1,1,2.265,-0.71697,1
1,1,1.451,1.3733,1
1,1,1.024,1.2517,1
1,1,1.214,-0.29977,1
1,0,1.383,0.32074,1
1,0,1.866,0.67246,1
1,1,2.247,-0.9441,1
1,0,3.986,0.29245,1
1,1,1.979,-0.40165,1
1,1,2.187,1.4688,1
1,1,2.037,-0.18046,1
1,1,1.14,0.24086,1
1,1,1.934,1.6815,1
1,1,1.123,0.26483,1
1,1,2.091,-0.7371,1
1,1,2.145,-0.94241,1
1,1,1.864,0.29893,1
1,1,2.063,1.6384,1
1,1,2.506,-0.56569,1
1,1,0.863,0.75194,1
1,1,1.522,-0.89765,1
1,1,2.234,-0.23466,1
1,1,1.312,-0.52339,1
1,1,0.97,1.0559,1
1,1,2.061,0.53354,1
1,1,1.888,-0.58075,1
1,0,1.098,0.72279,1
1,0,1.424,0.54712,1
1,1,0.99,-0.46463,1
1,1,2.443,-0.38618,1
1,1,1.817,1.2136,1
1,1,1.515,1.1306,1
1,1,1.357,1.1626,1
1,1,2.259,-0.80754,1
1,1,1.128,0.43229,1
1,1,1.879,-1.1542,1
1,0,2.641,0.67974,1
1,1,1.201,1.2484,1
1,1,1.346,0.30393,1
1,0,2.777,0.61645,1
1,1,3.187,-0.72612,1
1,1,1.28,-0.043496,1
1,1,1.123,1.4024,1
1,1,2.12,-0.21164,1
1,1,1.724,0.60784,1
1,1,2.183,0.39128,1
1,1,1.021,-0.067606,1
1,1,0.979,-0.44443,1
1,1,2.345,0.042892,1
1,1,1.249,1.4014,1
1,1,1.232,0.31185,1
1,1,2.186,0.039687,1
1,1,0.941,-1.2117,1
1,0,2.677,0.45531,1
1,1,3.795,-1.0714,1
1,0,1.864,0.04453,1
1,0,0.851,-0.28753,1
1,1,1.055,0.54283,1
1,1,1.714,-0.55965,1
1,1,1.126,-0.58785,1
1,1,0.853,-0.23438,1
1,1,1.167,-0.18525,1
1,1,3.014,-0.92488,1
1,1,1.24,-0.15177,1
1,1,2.121,1.3173,1
1,0,0.926,0.50795,1
1,0,1.989,0.13108,1
1,0,1.542,0.58549,1
1,1,1.113,-0.15461,1
1,1,1.228,0.82928,1
1,1,1.418,1.4401,1
1,1,1.431,0.8639,1
1,0,3.739,-1.2749,1
1,1,3.35,0.60854,1
1,1,1.576,1.6084,1
1,1,1.395,-0.1812,1
1,1,0.876,-0.11498,1
1,0,2.814,2.5151,1
1,1,2.893,0.74607,1
1,1,1.302,-0.638,1
1,1,0.904,-0.58617,1
1,1,3.106,0.064891,1
1,1,3.73,0.10988,1
1,1,1.265,0.24752,1
1,1,3.155,-0.36779,1
1,0,0.873,0.0030881,1
1,1,1.95,-0.048645,1
1,1,1.152,0.20736,1
1,1,2.716,0.80221,1
1,0,1.021,1.4583,1
1,1,1.654,-0.50441,1
1,1,0.957,-0.67992,1
1,1,2.485,0.96803,1
1,0,1.244,-0.68656,1
1,1,1.751,-0.22519,1
1,1,2.373,0.10201,1
1,1,2.078,1.2084,1
1,1,3.03,0.51825,1
1,1,0.902,-0.27188,1
1,1,3.079,0.76939,1
1,1,3.1,0.70978,1
1,1,1.102,0.43385,1
1,1,3.817,0.93493,1
1,1,1.089,-0.15556,1
1,1,2.124,0.37391,1
1,0,1.283,-0.23925,1
1,1,0.861,1.129,1
1,1,2.181,1.1331,1
1,1,0.991,-0.17561,1
1,1,0.875,0.52026,1
1,0,2.116,0.34827,1
1,1,3.958,0.61705,1
1,0,1.177,-1.695,1
1,0,2.009,-1.0602,1
1,1,1.122,-0.0253,1
1,0,1.235,1.6573,1
1,1,1.27,-0.46757,1
1,1,1.376,0.19876,1
1,0,1.513,-0.19372,1
1,1,2.641,-0.34723,1
1,1,1.164,-0.71768,1
1,1,1.92,0.52975,1
1,1,1.607,-0.078955,1
1,1,1.876,1.2982,1
1,1,1.293,0.60638,1
1,1,1.064,-0.04846,1
1,1,1.058,0.82476,1
1,1,1.363,0.48357,1
1,1,3.399,-0.48587,1
1,1,1,-1.0988,1
1,1,1.33,0.27003,1
1,0,2.866,-1.857,1
1,0,1.537,0.87603,1
1,1,1.072,-0.11005,1
